protocol,num_scenes,gt_psnr_mean,gt_psnr_std,num_eval_images_mean,num_eval_images_std,pair_mae_mean,pair_mae_std,pair_mse_mean,pair_mse_std,pair_psnr_mean,pair_psnr_std
original,32,23.683728128671646,4.594244504645904,4.0,0.0,,,,,,
iid,32,7.296478757634759,3.4910734237917866,4.0,0.0,0.3911521038680803,0.1729031455542277,0.23783416589867556,0.172587844377027,7.664024585674985,3.767504158395052
ood,32,7.295219469815493,3.4921923737549054,4.0,0.0,0.3912380983820185,0.17292922223727525,0.2379180870775599,0.1725888114835852,7.662616336459402,3.7684759552836855
