protocol,num_targets,original_is_mean,original_is_std,reconstructed_is_mean,reconstructed_is_std,is_delta_mean,is_delta_std
iid,18,3.20826232425645,1.2728558374798327,3.2041762198607744,1.1668252159642132,-0.004086104395675151,0.26195814641742765
ood,18,3.20826232425645,1.2728558374798327,3.2042376821599863,1.1660004299782112,-0.004024642096463126,0.2626384952969816
