model_slug
beetles
cakes
car-config-e
car-config-f
cat
church
doors
faces-ffhq-config-e
faces-ffhq-config-e-256x256
faces-ffhq-config-f
figure-drawings
flowers
fursona
horse
maps
my-little-pony
textures
trypophobia
ukiyoe-faces
wikiart
