protocol,num_models,num_reference_models,gt_cd_mean,gt_cd_std,pair_cd_mean,pair_cd_std
original,20,10,0.05055725257843733,0.007039927059484131,nan,nan
iid,20,10,0.12140454407781362,0.1393220238114059,0.0973126852652058,0.12862030545524109
ood,20,10,0.42606717348098755,0.13813976877373452,0.4465128634124994,0.17507781882013293
