protocol,num_models,num_reference_models,gt_cd_mean,gt_cd_std,pair_cd_mean,pair_cd_std
original,20,10,0.05055725257843733,0.007039927059484131,nan,nan
iid,20,10,0.08673885520547628,0.08020226567933732,0.02496821931563318,0.07238729091480778
ood,20,10,0.4262172348797321,0.14764954984451148,0.45132448673248293,0.17405025261700874
