protocol,num_models,num_reference_models,gt_cd_mean,gt_cd_std,pair_cd_mean,pair_cd_std
original,20,10,0.05055725257843733,0.007039927059484131,nan,nan
iid,20,10,0.13679028917104005,0.13828840404393694,0.12805887176655234,0.1308816983921875
ood,20,10,0.4318973869085312,0.14370338766432425,0.4488471195101738,0.1766415746937887
