explained_variance_target,basis_rank,original_spectral_params_total,unisub_spectral_params_total,original_full_params_total,unisub_full_params_total,spectral_savings_fraction,full_savings_fraction,original_spectral_mib,unisub_spectral_mib,original_full_mib,unisub_full_mib
0.6,10,89651200,44825800,110675520,65850120,0.4999977691319246,0.4050163938692134,341.9921875,170.99685668945312,422.193603515625,251.19827270507812
0.7,12,89651200,53790960,110675520,74815280,0.3999973229583096,0.32401239226163114,341.9921875,205.19622802734375,422.193603515625,285.39764404296875
0.8,14,89651200,62756120,110675520,83780440,0.29999687678469444,0.2430083906540489,341.9921875,239.39559936523438,422.193603515625,319.5970153808594
0.9,16,89651200,71721280,110675520,92745600,0.1999964306110794,0.16200438904646663,341.9921875,273.594970703125,422.193603515625,353.79638671875
0.95,18,89651200,80686440,110675520,101710760,0.09999598443746427,0.08100038743888438,341.9921875,307.7943420410156,422.193603515625,387.9957580566406
