variant,rank_threshold,basis_rank,scene_name,best_step,baseline_gt_cd,best_gt_cd,baseline_pair_cd,best_pair_cd
baseline,0.95,17,valley,400,0.24098606407642365,0.23447906225919724,0.2401002198457718,0.2333032190799713
baseline,0.95,17,wukong,0,0.25061895698308945,0.25061895698308945,0.2506396323442459,0.2506396323442459
rank80,0.80,13,valley,400,0.26433534920215607,0.2567848414182663,0.26281625032424927,0.25487370789051056
rank80,0.80,13,wukong,0,0.24164637178182602,0.24164637178182602,0.24106642603874207,0.24106642603874207
rank70,0.70,11,valley,400,0.2687496319413185,0.26099126040935516,0.2671591490507126,0.2590882182121277
rank70,0.70,11,wukong,0,0.24658143520355225,0.24658143520355225,0.24625474214553833,0.24625474214553833
