variant,rank_threshold,basis_rank,full_param_savings_fraction,full_param_savings_pct,q_all,q_arch,components_for_90pct,components_for_95pct,components_for_99pct,iid_gt_cd_mean,iid_pair_cd_mean,ood_gt_cd_mean,ood_pair_cd_mean
baseline,0.95,18,0.08100038743888438,8.100038743888438,0.1501039669601017,0.197672229867697,16,18,19,0.08673885520547628,0.02496821931563318,0.4262172348797321,0.45132448673248293
rank80,0.80,14,0.2430083906540489,24.30083906540489,0.1501039669601017,0.197672229867697,16,18,19,0.12140454407781362,0.0973126852652058,0.42606717348098755,0.4465128634124994
rank70,0.70,12,0.32401239226163114,32.40123922616311,0.1501039669601017,0.197672229867697,16,18,19,0.13679028917104005,0.12805887176655234,0.4318973869085312,0.4488471195101738
